Site,Date,Na_ion,K_ion,Mg_ion,Ca_ion,SO4_ion,NH4_ion,NO3_ion,Cl_ion,OC,EC,PM2.5_Mass_Concentration,Al,Fe,Na,Mg,K,Ca,Sr,Ba,Ti,Mn,Co,Ni,Cu,Zn,Mo,Cd,Sn,Sb,Tl,Pb,V,Cr,As,Y,Se,Zr,Ge,Rb,Cs,Ga,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,U
斗六,19-Apr-17,0.15,0.14,0.41,0.01,10.33,4.69,5.73,0.48,4.79,1.19,35,0.037324,0.060376,0.165259,0.019600,0.188504,0.012712,0.000721,0.003643,0.004920,0.004356,0.000097,0.002855,0.003072,0.025067,0.000776,0.000224,0.003020,0.000486,0.000038,0.004628,0.009188,0.003481,0.000894,0.000044,0.000612,0.000358,0.000049,0.000520,0.000026,0.000200,0.000055,0.000074,0.000005,0.000028,0.000005,0.000001,0.000005,0.000001,0.000003,0.000001,0.000002,0.000001,0.000002,0.000001,0.000025,0.000005
忠明,19-Apr-17,0.20,0.17,0.07,0.07,11.96,5.81,8.06,0.65,4.90,1.22,40,0.074930,0.087735,0.187567,0.025474,0.201609,0.027205,0.001074,0.003499,0.006389,0.006629,0.000140,0.004947,0.004914,0.038776,0.001209,0.000238,0.002371,0.000723,0.000039,0.004610,0.014585,0.004555,0.005480,0.000033,0.000681,0.000535,0.000065,0.000590,0.000024,0.000224,0.000073,0.000101,0.000005,0.000036,0.000005,0.000001,0.000006,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000025,0.000006
板橋,19-Apr-17,0.14,0.16,0.02,0.34,8.96,4.39,5.92,0.52,8.12,1.92,36,0.047601,0.103366,0.184388,0.023080,0.247346,0.012713,0.000831,0.003360,0.007511,0.007148,0.000108,0.003904,0.008470,0.042518,0.000623,0.000297,0.002782,0.002236,0.000043,0.009066,0.010439,0.002492,0.001340,0.000016,0.000712,0.000759,0.000067,0.000480,0.000025,0.000210,0.000078,0.000126,0.000004,0.000039,0.000004,0.000001,0.000005,0.000000,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000025,0.000006
花蓮,13-Apr-17,0.10,0.10,0.01,0.12,7.20,3.72,4.90,0.69,3.05,1.10,26,0.067314,0.137508,0.156562,0.037592,0.192461,0.136686,0.001103,0.002837,0.007138,0.007781,0.000113,0.002191,0.004114,0.027899,0.000318,0.000212,0.000662,0.000784,0.000155,0.008117,0.004999,0.001144,0.001309,0.000030,0.001818,0.000415,0.000117,0.000810,0.000092,0.000289,0.000166,0.000152,0.000008,0.000056,0.000008,0.000002,0.000008,0.000001,0.000005,0.000001,0.000003,0.000000,0.000003,0.000000,0.000025,0.000011
小港,13-Apr-17,0.15,0.13,0.01,0.10,5.84,4.77,12.70,0.87,6.26,2.46,41,0.061756,0.277036,0.136462,0.025326,0.159170,0.094614,0.000729,0.004880,0.008084,0.022128,0.000315,0.010002,0.008217,0.185345,0.002031,0.000418,0.003419,0.001232,0.000051,0.015988,0.017989,0.009956,0.000875,0.000112,0.001043,0.000764,0.000138,0.000568,0.000049,0.000354,0.000226,0.000133,0.000007,0.000049,0.000008,0.000002,0.000007,0.000001,0.000005,0.000001,0.000003,0.000000,0.000003,0.000000,0.000024,0.000006
嘉義,13-Apr-17,0.13,0.16,0.01,0.04,8.45,7.11,17.57,0.90,5.92,1.72,53,0.034084,0.153559,0.119287,0.017377,0.187715,0.093662,0.000846,0.026538,0.006280,0.012969,0.000185,0.003726,0.006695,0.054869,0.000576,0.000360,0.001905,0.000919,0.000073,0.013800,0.004745,0.003989,0.001244,0.000023,0.001434,0.000589,0.000172,0.000668,0.000055,0.001145,0.000134,0.000105,0.000005,0.000035,0.000010,0.000005,0.000005,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000025,0.000006
斗六,13-Apr-17,0.15,0.16,0.01,0.11,6.78,6.82,16.15,1.13,4.80,2.16,49,0.039261,0.196089,0.127756,0.014933,0.202528,0.055201,0.000549,0.002519,0.007038,0.015884,0.000264,0.004651,0.008950,0.083825,0.000803,0.000403,0.002524,0.001139,0.000091,0.015361,0.004770,0.005012,0.001456,0.000025,0.001534,0.000618,0.000207,0.000749,0.000066,0.000351,0.000151,0.000119,0.000005,0.000040,0.000005,0.000001,0.000006,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000025,0.000007
忠明,13-Apr-17,0.11,0.12,0.01,0.03,6.73,5.39,12.65,0.63,5.60,2.59,43,0.049176,0.286759,0.120061,0.023978,0.190477,0.081432,0.000670,0.005068,0.012444,0.027029,0.000236,0.004018,0.012553,0.088551,0.001056,0.000521,0.002878,0.001403,0.000112,0.014801,0.004483,0.005923,0.001647,0.000032,0.001565,0.001598,0.000239,0.000750,0.000078,0.000460,0.000171,0.000165,0.000007,0.000055,0.000007,0.000002,0.000008,0.000001,0.000004,0.000001,0.000003,0.000000,0.000003,0.000000,0.000106,0.000009
板橋,13-Apr-17,0.31,0.07,0.03,0.03,4.47,1.69,1.74,0.42,3.67,1.23,19,0.066772,0.152460,0.347283,0.054260,0.160785,0.140975,0.000902,0.003519,0.009140,0.008970,0.000069,0.002127,0.004342,0.028724,0.000439,0.000242,0.001238,0.000698,0.000085,0.006044,0.005619,0.002407,0.001027,0.000031,0.001148,0.000629,0.000084,0.000620,0.000071,0.000271,0.000135,0.000158,0.000009,0.000059,0.000008,0.000002,0.000008,0.000001,0.000005,0.000001,0.000004,0.000001,0.000003,0.000000,0.000025,0.000009
花蓮,07-Apr-17,0.48,0.06,0.01,0.01,2.25,0.75,0.69,0.73,1.83,0.35,10,0.041132,0.046887,0.611312,0.072341,0.113953,0.078814,0.000960,0.000107,0.006958,0.001574,0.000061,0.001223,0.000856,0.008289,0.000023,0.000103,0.001008,0.000262,0.000011,0.001385,0.002209,0.001126,0.000492,0.000016,0.000261,0.000107,0.000011,0.000200,0.000010,0.000012,0.000098,0.000062,0.000003,0.000027,0.000003,0.000001,0.000004,0.000000,0.000002,0.000000,0.000002,0.000000,0.000002,0.000000,0.000024,0.000003
小港,07-Apr-17,0.41,0.17,0.05,0.06,4.34,1.20,0.81,1.20,2.30,1.09,16,0.074421,0.202879,0.821433,0.092716,0.133797,0.033060,0.001024,0.001999,0.008258,0.011737,0.000582,0.016881,0.004818,0.063370,0.000641,0.000574,0.002220,0.002920,0.000038,0.005289,0.022664,0.007640,0.000525,0.000026,0.000657,0.000259,0.000226,0.000308,0.000040,0.000156,0.000755,0.000102,0.000005,0.000044,0.000006,0.000002,0.000008,0.000001,0.000004,0.000001,0.000002,0.000000,0.000002,0.000000,0.000024,0.000007
嘉義,07-Apr-17,0.26,0.20,0.03,0.03,6.79,2.42,2.61,0.62,5.12,1.04,26,0.040917,0.100776,0.502874,0.044707,0.175684,0.047235,0.000884,0.007621,0.007732,0.006580,0.000104,0.002665,0.003219,0.020779,0.000882,0.000168,0.001102,0.000735,0.000031,0.005063,0.005857,0.004034,0.000566,0.000024,0.000954,0.000449,0.000069,0.000386,0.000037,0.000352,0.000233,0.000078,0.000005,0.000035,0.000005,0.000002,0.000005,0.000001,0.000003,0.000001,0.000003,0.000000,0.000002,0.000000,0.000024,0.000006
斗六,07-Apr-17,0.24,0.21,0.05,0.05,7.09,3.18,5.33,0.82,5.35,0.95,31,0.048363,0.102353,0.541834,0.049877,0.228206,0.012509,0.000941,0.005082,0.006105,0.005518,0.000131,0.003948,0.003690,0.024978,0.000673,0.000218,0.001411,0.001497,0.000039,0.004888,0.008121,0.004320,0.000738,0.000022,0.001016,0.000397,0.000065,0.000470,0.000040,0.000262,0.000104,0.000088,0.000005,0.000034,0.000006,0.000002,0.000005,0.000001,0.000003,0.000001,0.000003,0.000000,0.000002,0.000000,0.000024,0.000006
忠明,07-Apr-17,0.24,0.21,0.04,0.05,8.04,4.50,7.80,1.04,6.48,2.07,39,0.075560,0.256052,0.644610,0.068803,0.290946,0.026125,0.001545,0.004584,0.013412,0.024368,0.000258,0.006673,0.009244,0.076873,0.001123,0.000465,0.002632,0.001483,0.000072,0.010939,0.012767,0.004830,0.001210,0.000063,0.001238,0.001217,0.000151,0.000666,0.000054,0.000337,0.000174,0.000186,0.000009,0.000071,0.000008,0.000002,0.000010,0.000001,0.000006,0.000001,0.000004,0.000001,0.000005,0.000001,0.000024,0.000013
板橋,07-Apr-17,0.17,0.21,0.02,0.05,8.29,3.50,4.07,0.31,9.36,2.28,37,0.129990,0.324933,0.497002,0.064070,0.281986,0.081504,0.001544,0.008031,0.020620,0.026699,0.000316,0.008322,0.015878,0.083612,0.001179,0.000636,0.004416,0.003056,0.000106,0.012933,0.009652,0.007030,0.001534,0.000058,0.001336,0.001593,0.000133,0.000859,0.000083,0.000538,0.000347,0.000303,0.000012,0.000101,0.000011,0.000003,0.000012,0.000001,0.000007,0.000001,0.000005,0.000001,0.000005,0.000001,0.000024,0.000011
花蓮,01-Apr-17,0.12,0.19,0.01,0.05,6.15,2.53,3.32,1.18,2.96,0.65,24,0.051735,0.094208,0.281918,0.042971,0.188484,0.102296,0.001059,0.005297,0.006251,0.006080,0.000113,0.001848,0.003333,0.022972,0.000269,0.000266,0.000757,0.000508,0.000113,0.008148,0.001766,0.001125,0.000989,0.000023,0.000807,0.000364,0.000074,0.000650,0.000068,0.000356,0.000117,0.000131,0.000007,0.000049,0.000005,0.000001,0.000006,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000024,0.000007
小港,01-Apr-17,0.01,0.09,0.01,0.01,4.64,3.17,5.60,0.26,3.94,1.19,23,0.097894,0.210033,0.141623,0.041087,0.172573,0.165730,0.001467,0.006016,0.011690,0.012664,0.000202,0.004211,0.005729,0.069546,0.000761,0.000318,0.002665,0.000960,0.000069,0.013085,0.007861,0.005298,0.000661,0.000038,0.001042,0.000494,0.000117,0.000597,0.000062,0.000390,0.000177,0.000153,0.000010,0.000063,0.000009,0.000002,0.000008,0.000001,0.000006,0.000001,0.000004,0.000001,0.000004,0.000000,0.000024,0.000011
嘉義,01-Apr-17,0.07,0.21,0.01,0.04,7.17,3.46,7.04,0.51,6.60,1.17,35,0.074609,0.161394,0.158287,0.032079,0.220187,0.145949,0.001141,0.006544,0.009609,0.013613,0.000139,0.001956,0.007009,0.056434,0.000587,0.000470,0.003159,0.001101,0.000104,0.011895,0.002226,0.003841,0.001032,0.000032,0.001100,0.000528,0.000129,0.000688,0.000071,0.000460,0.000182,0.000198,0.000009,0.000070,0.000007,0.000002,0.000008,0.000001,0.000004,0.000001,0.000003,0.000000,0.000003,0.000000,0.000024,0.000011
斗六,01-Apr-17,0.06,0.21,0.01,0.04,7.31,4.06,6.50,0.40,6.25,1.33,33,0.048612,0.140462,0.101998,0.022770,0.171617,0.150632,0.000800,0.001461,0.007511,0.010319,0.000161,0.002016,0.005729,0.040543,0.000515,0.000498,0.004177,0.000810,0.000093,0.014459,0.002118,0.004183,0.000874,0.000036,0.000878,0.000651,0.000137,0.000507,0.000062,0.000239,0.000116,0.000107,0.000006,0.000042,0.000005,0.000002,0.000006,0.000001,0.000004,0.000001,0.000002,0.000001,0.000003,0.000000,0.000024,0.000010
忠明,01-Apr-17,0.06,0.19,0.01,0.06,8.44,3.07,3.37,0.17,3.67,0.96,25,0.086302,0.192438,0.139193,0.033400,0.184465,0.162559,0.001042,0.003140,0.010181,0.016223,0.000152,0.002303,0.007589,0.046648,0.000626,0.000355,0.002038,0.001088,0.000123,0.009837,0.002235,0.004064,0.001185,0.000042,0.001196,0.000661,0.000188,0.000686,0.000082,0.000365,0.000299,0.000182,0.000012,0.000070,0.000009,0.000002,0.000011,0.000001,0.000006,0.000001,0.000004,0.000000,0.000004,0.000000,0.000024,0.000013
板橋,01-Apr-17,0.06,0.17,0.01,0.01,11.08,5.05,5.66,0.40,5.37,0.99,36,0.058571,0.146508,0.218885,0.028891,0.232776,0.102826,0.001142,0.020836,0.008807,0.010841,0.000124,0.002135,0.005881,0.040137,0.000566,0.000465,0.001516,0.001149,0.000176,0.013256,0.003044,0.003356,0.001507,0.000029,0.001411,0.000921,0.000145,0.000858,0.000116,0.001070,0.000167,0.000167,0.000007,0.000059,0.000010,0.000004,0.000007,0.000001,0.000004,0.000001,0.000003,0.000000,0.000003,0.000000,0.000024,0.000011
花蓮,26-Mar-17,0.10,0.06,0.01,0.07,4.23,1.46,1.47,0.18,2.27,0.57,16,0.165080,0.179858,0.143684,0.049998,0.206029,0.108080,0.001122,0.002511,0.014534,0.007192,0.000125,0.001284,0.006296,0.018355,0.000397,0.000254,0.000858,0.000970,0.000075,0.008014,0.001720,0.002566,0.002012,0.000054,0.000784,0.000510,0.000080,0.000757,0.000061,0.000339,0.000133,0.000199,0.000015,0.000084,0.000013,0.000002,0.000014,0.000002,0.000008,0.000002,0.000006,0.000001,0.000005,0.000001,0.000024,0.000017
小港,26-Mar-17,0.11,0.15,0.10,0.08,3.42,2.66,7.29,0.62,4.63,1.16,27,0.038941,0.149168,0.092814,0.021250,0.229487,0.043420,0.000976,0.003396,0.007536,0.009951,0.000174,0.003811,0.007540,0.072957,0.001519,0.000312,0.003723,0.001054,0.000030,0.008729,0.003901,0.014033,0.000725,0.000020,0.000496,0.000358,0.000131,0.000410,0.000023,0.000260,0.000095,0.000105,0.000005,0.000039,0.000005,0.000001,0.000005,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000024,0.000006
嘉義,26-Mar-17,0.08,0.23,0.01,0.04,5.31,3.50,6.62,0.70,4.89,1.12,31,0.234679,0.237079,0.141564,0.063386,0.479122,0.175833,0.002574,0.007033,0.020470,0.011426,0.000195,0.002603,0.009662,0.054650,0.000593,0.000423,0.002430,0.001311,0.000090,0.016751,0.002450,0.003642,0.002163,0.000068,0.001071,0.000720,0.000154,0.001024,0.000078,0.000596,0.000195,0.000284,0.000020,0.000116,0.000017,0.000004,0.000019,0.000003,0.000011,0.000002,0.000007,0.000001,0.000008,0.000001,0.000024,0.000021
斗六,26-Mar-17,0.08,0.16,0.01,0.04,5.19,3.12,5.69,0.56,4.16,0.81,29,0.175807,0.217539,0.071824,0.044405,0.306797,0.134574,0.001598,0.004880,0.018391,0.009787,0.000204,0.004620,0.009603,0.041854,0.000600,0.000362,0.001357,0.001074,0.000076,0.008740,0.002610,0.013328,0.002065,0.000054,0.001041,0.000637,0.000196,0.000799,0.000067,0.000469,0.000155,0.000208,0.000015,0.000085,0.000013,0.000003,0.000014,0.000002,0.000009,0.000002,0.000006,0.000001,0.000006,0.000001,0.000024,0.000020
忠明,26-Mar-17,0.09,0.13,0.01,0.08,5.92,2.33,2.70,0.21,3.27,0.68,23,0.095378,0.183990,0.058416,0.036969,0.226909,0.081236,0.001208,0.003202,0.014244,0.010314,0.000144,0.001573,0.006373,0.041905,0.000561,0.000283,0.001134,0.000858,0.000069,0.007782,0.002455,0.003321,0.001938,0.000040,0.000950,0.000617,0.000269,0.000670,0.000058,0.000357,0.000078,0.000161,0.000011,0.000066,0.000010,0.000002,0.000010,0.000001,0.000006,0.000002,0.000004,0.000001,0.000004,0.000000,0.000024,0.000015
板橋,26-Mar-17,0.13,0.16,0.03,0.10,9.57,3.96,4.22,0.25,5.16,1.42,36,0.555341,0.532836,0.226711,0.145507,0.460731,0.447762,0.003487,0.009472,0.038365,0.027626,0.000278,0.002968,0.011572,0.079554,0.001002,0.000778,0.002617,0.001891,0.000206,0.025699,0.004104,0.004998,0.004986,0.000177,0.002348,0.001350,0.000195,0.001984,0.000176,0.001067,0.000436,0.000712,0.000055,0.000310,0.000046,0.000008,0.000046,0.000006,0.000031,0.000006,0.000021,0.000003,0.000019,0.000003,0.000024,0.000049
花蓮,20-Mar-17,0.21,0.09,0.01,0.05,2.14,1.03,0.80,0.35,2.57,0.72,10,0.186766,0.046045,0.226859,0.030726,0.152579,0.053391,0.000356,0.001272,0.002813,0.001469,0.000010,0.000709,0.002220,0.014193,0.000096,0.000227,0.000414,0.000566,0.000012,0.000083,0.001703,0.001129,0.001172,0.000009,0.000313,0.000107,0.000011,0.000292,0.000011,0.000076,0.000037,0.000056,0.000003,0.000021,0.000003,0.000000,0.000003,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000024,0.000002
小港,20-Mar-17,0.32,0.15,0.03,0.07,5.98,3.10,4.53,0.68,4.89,1.47,27,0.118863,0.209669,0.548121,0.077139,0.263573,0.159906,0.001715,0.003673,0.010900,0.013133,0.000174,0.010343,0.005492,0.100266,0.001163,0.000361,0.001801,0.000871,0.000030,0.005455,0.020593,0.007462,0.000860,0.000040,0.000728,0.000329,0.000075,0.000525,0.000033,0.000262,0.000181,0.000146,0.000010,0.000061,0.000010,0.000002,0.000010,0.000001,0.000006,0.000002,0.000004,0.000001,0.000004,0.000001,0.000024,0.000007
嘉義,20-Mar-17,0.28,0.16,0.04,0.04,11.17,7.32,14.26,1.63,6.40,1.41,55,0.086201,0.162729,0.431904,0.057012,0.410306,0.142640,0.002187,0.028983,0.009445,0.009911,0.000180,0.006537,0.007806,0.057634,0.001986,0.000567,0.008716,0.001452,0.000032,0.007991,0.011755,0.004084,0.001114,0.000044,0.001090,0.000429,0.000085,0.000712,0.000032,0.001115,0.000136,0.000139,0.000008,0.000054,0.000012,0.000005,0.000008,0.000001,0.000006,0.000002,0.000004,0.000001,0.000003,0.000001,0.000024,0.000008
斗六,20-Mar-17,0.25,0.16,0.01,0.05,10.65,7.12,13.05,1.69,6.31,1.40,52,0.033515,0.107107,0.331904,0.039135,0.351706,0.012568,0.000987,0.002601,0.004405,0.007054,0.000200,0.006097,0.007779,0.059877,0.001303,0.000303,0.002607,0.001389,0.000030,0.004164,0.010566,0.002776,0.001085,0.000016,0.000871,0.000107,0.000068,0.000552,0.000031,0.000203,0.000053,0.000062,0.000003,0.000021,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000024,0.000005
忠明,20-Mar-17,0.31,0.21,0.03,0.08,10.21,5.21,6.10,0.72,5.17,1.56,33,0.056862,0.230939,0.341611,0.044780,0.297866,0.079736,0.001473,0.007304,0.008953,0.014848,0.000240,0.007299,0.012057,0.082727,0.001060,0.000425,0.004029,0.001503,0.000036,0.007753,0.012746,0.003603,0.000986,0.000056,0.001032,0.000833,0.000179,0.000562,0.000033,0.000413,0.000153,0.000141,0.000007,0.000051,0.000006,0.000002,0.000007,0.000001,0.000005,0.000001,0.000003,0.000000,0.000003,0.000000,0.000024,0.000006
板橋,20-Mar-17,0.16,0.08,0.01,0.01,7.69,4.22,6.37,0.64,6.33,1.69,34,0.048116,0.304487,0.244458,0.032335,0.191276,0.075309,0.000754,0.007782,0.014647,0.022176,0.000229,0.007166,0.012042,0.060832,0.001143,0.000414,0.003791,0.002726,0.000061,0.008648,0.009951,0.004528,0.000918,0.000047,0.000889,0.001281,0.000091,0.000504,0.000046,0.000419,0.000351,0.000289,0.000006,0.000078,0.000006,0.000002,0.000009,0.000001,0.000004,0.000001,0.000003,0.000000,0.000003,0.000000,0.000024,0.000007
花蓮,14-Mar-17,0.32,0.06,0.03,0.08,1.84,0.69,0.49,0.26,1.37,0.24,8,0.014466,0.036237,0.262178,0.031611,0.096607,0.097540,0.000419,0.000490,0.002129,0.004221,0.000102,0.001273,0.000882,0.013049,0.000161,0.000043,0.000127,0.000164,0.000070,0.001104,0.001668,0.001131,0.000295,0.000008,0.001488,0.000108,0.000029,0.000237,0.000014,0.000067,0.000032,0.000034,0.000002,0.000014,0.000002,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000024,0.000003
小港,14-Mar-17,0.22,0.15,0.01,0.01,6.06,5.15,12.46,0.79,5.60,1.69,41,0.078046,0.265577,0.381522,0.057817,0.273281,0.143639,0.001066,0.006243,0.010459,0.023040,0.000416,0.010172,0.009392,0.166669,0.003450,0.000458,0.003638,0.001352,0.000055,0.013234,0.018321,0.017572,0.001194,0.000098,0.002260,0.000549,0.000155,0.000683,0.000040,0.000429,0.000209,0.000161,0.000010,0.000062,0.000009,0.000003,0.000008,0.000001,0.000006,0.000001,0.000004,0.000000,0.000004,0.000000,0.000024,0.000008
嘉義,14-Mar-17,0.22,0.14,0.01,0.01,4.24,3.63,8.23,0.77,3.89,0.72,30,0.070604,0.122333,0.326074,0.035684,0.228744,0.169446,0.000881,0.010429,0.006504,0.009402,0.000150,0.003645,0.004612,0.091661,0.000484,0.000280,0.002146,0.000951,0.000043,0.008596,0.003447,0.002798,0.000795,0.000024,0.001252,0.000426,0.000093,0.000463,0.000030,0.000500,0.000137,0.000105,0.000006,0.000040,0.000006,0.000002,0.000005,0.000001,0.000004,0.000001,0.000002,0.000000,0.000003,0.000000,0.000024,0.000006
斗六,14-Mar-17,0.19,0.09,0.01,0.01,3.78,2.93,6.38,0.52,3.59,0.73,25,0.039855,0.095791,0.264014,0.030051,0.150785,0.096341,0.000530,0.001821,0.005192,0.006830,0.000141,0.002736,0.004248,0.036961,0.000423,0.000251,0.002973,0.000923,0.000034,0.005062,0.002880,0.002994,0.000676,0.000020,0.001310,0.000522,0.000101,0.000330,0.000024,0.000202,0.000121,0.000092,0.000005,0.000033,0.000005,0.000001,0.000004,0.000000,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000024,0.000005
忠明,14-Mar-17,0.25,0.08,0.01,0.01,3.75,1.51,1.96,0.32,2.15,0.47,16,0.017468,0.088692,0.216727,0.022345,0.132751,0.113989,0.000415,0.001300,0.005180,0.009039,0.000117,0.001909,0.003166,0.042770,0.000445,0.000143,0.000994,0.000593,0.000026,0.003812,0.002989,0.002614,0.000555,0.000013,0.001699,0.000623,0.000150,0.000260,0.000020,0.000156,0.000092,0.000067,0.000003,0.000023,0.000003,0.000001,0.000003,0.000000,0.000002,0.000000,0.000001,0.000000,0.000002,0.000000,0.000082,0.000004
板橋,14-Mar-17,0.38,0.10,0.05,0.06,3.64,1.43,1.09,0.47,3.39,0.61,16,0.042619,0.079709,0.488171,0.052723,0.158269,0.244894,0.000743,0.002117,0.005153,0.004137,0.000056,0.001702,0.002769,0.019920,0.000387,0.000145,0.000746,0.000489,0.000032,0.003121,0.003726,0.001126,0.000658,0.000018,0.001895,0.000313,0.000064,0.000351,0.000033,0.000240,0.000087,0.000110,0.000006,0.000041,0.000005,0.000001,0.000005,0.000000,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000024,0.000007
花蓮,08-Mar-17,0.06,0.07,0.11,0.01,5.21,1.84,1.58,0.11,2.45,0.67,16,0.037352,0.124436,0.078413,0.017776,0.142848,0.090507,0.000500,0.001473,0.004765,0.011117,0.000051,0.000948,0.002218,0.026580,0.000227,0.000201,0.000618,0.000461,0.000066,0.005075,0.001824,0.001132,0.001196,0.000023,0.001778,0.000238,0.000090,0.000447,0.000041,0.000259,0.000067,0.000110,0.000006,0.000042,0.000006,0.000001,0.000005,0.000001,0.000004,0.000001,0.000002,0.000000,0.000002,0.000000,0.000024,0.000010
小港,08-Mar-17,0.21,0.16,0.10,0.08,7.11,5.57,16.36,1.38,7.79,3.13,57,0.079543,0.405040,0.279808,0.043961,0.376658,0.180737,0.001346,0.011575,0.016537,0.044751,0.000755,0.011582,0.014652,0.242186,0.005743,0.000803,0.003797,0.002137,0.000100,0.024325,0.004943,0.031013,0.001901,0.000045,0.003644,0.001023,0.000250,0.001144,0.000077,0.000796,0.000188,0.000219,0.000011,0.000082,0.000011,0.000004,0.000011,0.000001,0.000007,0.000001,0.000005,0.000000,0.000004,0.000000,0.000024,0.000014
嘉義,08-Mar-17,0.14,0.16,0.12,0.07,7.08,6.10,15.61,1.12,5.64,1.92,49,0.063454,0.272146,0.188811,0.025525,0.344709,0.104297,0.001386,0.051079,0.010176,0.024747,0.000361,0.005178,0.013327,0.160043,0.000827,0.000692,0.003059,0.001784,0.000105,0.024676,0.003050,0.006663,0.002044,0.000042,0.002073,0.000925,0.000224,0.001165,0.000083,0.002105,0.000163,0.000182,0.000011,0.000068,0.000018,0.000009,0.000009,0.000001,0.000006,0.000001,0.000004,0.000000,0.000004,0.000000,0.000024,0.000013
斗六,08-Mar-17,0.11,0.15,0.10,0.07,6.79,5.62,13.63,0.65,4.84,2.26,44,0.069491,0.223751,0.147471,0.022271,0.282093,0.049164,0.000768,0.004937,0.009762,0.019373,0.000374,0.004646,0.013388,0.132958,0.000849,0.000665,0.002678,0.001706,0.000113,0.018130,0.003111,0.004880,0.002164,0.000036,0.002091,0.001028,0.000210,0.000885,0.000076,0.000586,0.000157,0.000167,0.000009,0.000063,0.000008,0.000002,0.000008,0.000001,0.000006,0.000001,0.000004,0.000000,0.000004,0.000000,0.000024,0.000012
忠明,08-Mar-17,0.11,0.16,0.01,0.10,6.43,3.35,5.11,0.26,4.23,1.50,27,0.046729,0.197505,0.099207,0.019858,0.206782,0.068373,0.000724,0.004021,0.010069,0.018931,0.000230,0.002834,0.009528,0.084116,0.000767,0.000465,0.001893,0.001301,0.000092,0.011443,0.002717,0.003652,0.001731,0.000027,0.001434,0.001304,0.000250,0.000710,0.000066,0.000496,0.000139,0.000152,0.000007,0.000053,0.000006,0.000002,0.000007,0.000001,0.000004,0.000001,0.000003,0.000000,0.000003,0.000000,0.000066,0.000011
板橋,08-Mar-17,0.10,0.16,0.11,0.01,7.98,3.53,3.72,0.31,5.02,1.41,29,0.047722,0.131905,0.119830,0.019470,0.219101,0.050706,0.000560,0.003158,0.005755,0.008019,0.000077,0.001225,0.004270,0.042126,0.000420,0.000982,0.014397,0.001001,0.000121,0.010045,0.002567,0.001130,0.001946,0.000020,0.001462,0.000398,0.000142,0.000791,0.000093,0.000474,0.000105,0.000170,0.000007,0.000057,0.000005,0.000001,0.000006,0.000001,0.000004,0.000001,0.000002,0.000000,0.000002,0.000000,0.000024,0.000012
花蓮,02-Mar-17,0.26,0.24,0.12,0.16,9.24,2.83,2.29,0.24,4.46,1.06,29,0.080803,0.143109,0.216930,0.040069,0.200801,0.127838,0.001242,0.002633,0.008266,0.007491,0.000106,0.000447,0.003018,0.026925,0.000460,0.000475,0.000804,0.000824,0.000152,0.010399,0.002685,0.002690,0.002056,0.000032,0.002822,0.000651,0.000214,0.000710,0.000081,0.000390,0.000086,0.000167,0.000014,0.000084,0.000008,0.000002,0.000009,0.000001,0.000006,0.000001,0.000004,0.000001,0.000004,0.000001,0.000024,0.000017
小港,02-Mar-17,0.31,0.32,0.06,0.17,9.93,4.51,10.57,0.48,7.83,1.78,52,0.432871,0.432888,0.398040,0.110442,0.492183,0.250002,0.002602,0.009181,0.030602,0.026796,0.000448,0.007637,0.012190,0.161727,0.002608,0.001139,0.004903,0.002642,0.000238,0.025805,0.010787,0.009143,0.003792,0.000145,0.004390,0.001471,0.000293,0.001809,0.000170,0.000890,0.000392,0.000530,0.000055,0.000296,0.000034,0.000007,0.000035,0.000004,0.000023,0.000006,0.000016,0.000002,0.000015,0.000002,0.000024,0.000033
嘉義,02-Mar-17,0.28,0.32,0.12,0.18,9.29,5.65,11.60,0.83,6.82,1.41,50,0.309082,0.366357,0.397484,0.098473,0.507592,0.225970,0.002597,0.020254,0.023987,0.024264,0.000406,0.005119,0.013201,0.141313,0.001133,0.001314,0.006435,0.002781,0.000284,0.032785,0.006766,0.004235,0.004159,0.000118,0.004206,0.001344,0.000318,0.001799,0.000183,0.001347,0.000384,0.000491,0.000047,0.000263,0.000033,0.000007,0.000029,0.000003,0.000020,0.000004,0.000012,0.000002,0.000012,0.000002,0.000024,0.000032
