鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中山區,房地(土地+建物)+車位,臺北市中山區樂群三路271~300號,27.0,其他,,,1071212,土地1建物1車位1,九層,十層,辦公商業大樓,商業用,鋼筋混凝土造,0981126,127.94999999999999,3,1,1,有,有,34000000,265729,坡道機械,19.24,0,親友、員工或其他特殊關係間之交易。;,RPQOMLMKMHOFFCA67CA
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街21巷91弄1~30號,22.63,住,,,1080130,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070105,105.46000000000001,0,0,0,無,有,23527000,223089,其他,0.0,0,,RPSSMLMKMHOFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街21巷91弄1~30號,22.6,住,,,1080130,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070105,105.35,0,0,0,無,有,23505000,223113,其他,0.0,0,,RPTSMLMKMHOFFCA38CA
南港區,房地(土地+建物),臺北市南港區經園街61~90號,20.55,住,,,1080310,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970304,82.64,2,2,1,有,有,14700000,177880,,0.0,0,,RPPOMLLLLHOFFDA57CA
南港區,房地(土地+建物)+車位,臺北市南港區忠孝東路七段511~540號,36.54,商,,,1080315,土地1建物1車位1,六層,十層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1040409,214.82,0,0,0,無,有,30000000,139652,坡道平面,39.09,0,,RPROMLLLLHOFFDA77CA
南港區,房地(土地+建物),臺北市南港區松河街481~510號,39.94,住,,,1080213,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940919,119.03,3,2,2,有,有,19280000,161976,,0.0,0,含增建或未登記建物。;,RPVOMLLLLHOFFDA18CA
南港區,土地,玉成段三小段361~390地號,1.84,工,,,1080312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,448000,243478,,0.0,0,,RPWOMLLLLHOFFDA28CA
南港區,房地(土地+建物),臺北市南港區玉成街59巷1~30號,34.81,工,,,1080312,土地2建物1車位0,全,一層,透天厝,住家用,磚造,030,6.61,1,1,1,有,無,8424000,1274433,,0.0,0,,RPXOMLLLLHOFFDA38CA
松山區,房地(土地+建物),臺北市松山區延壽街330巷7弄1~30號,25.14,住,,,1080301,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0810309,118.41,3,2,2,有,有,23500000,198463,,0.0,0,含增建或未登記建物。;,RPQNMLMLLHOFFDA67CA
信義區,房地(土地+建物),臺北市信義區基隆路一段421~450號,4.35,商,,,1080313,土地2建物1車位0,五層,十五層,辦公商業大樓,商業用,鋼筋混凝土造,,47.5,0,0,0,無,有,8880000,186947,,0.0,0,,RPPNMLOLLHOFFDA77CA
南港區,車位,臺北市南港區忠孝東路六段1至1~30號,0.0,,,,1080313,土地0建物0車位1,地下層,七層,其他,見使用執照,鋼筋混凝土造,,40.78,0,0,0,有,無,2300000,,坡道平面,40.77,2300000,單獨車位交易。;,RPXNMLPLLHOFFDA68CA
信義區,房地(土地+建物),臺北市信義區光復南路421~450號,10.49,商,,,1071231,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.95,3,2,2,有,有,10000000,80678,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLPLLHOFFDA97CA
